timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778658142.689013,599617105231342944,0,-1004.0,177.0,101.0,1024.47
1778658142.729014,599617105271342944,0,-1016.0,165.0,86.0,1032.9
1778658142.769014,599617105311342944,0,-1011.0,126.0,99.0,1023.62
1778658142.809014,599617105351342944,0,-1016.0,145.0,97.0,1030.87
1778658142.849014,599617105391342944,0,-1014.0,156.0,104.0,1031.19
1778658142.889014,599617105431342944,0,-1013.0,158.0,106.0,1030.71
1778658142.929013,599617105471342944,0,-1016.0,187.0,85.0,1036.56
1778658142.969014,599617105511342944,0,-1013.0,187.0,81.0,1033.3
1778658143.009014,599617105551342944,0,-1018.0,153.0,66.0,1031.55
1778658143.049014,599617105591342944,0,-1006.0,135.0,85.0,1018.57
1778658143.089014,599617105631342944,0,-1014.0,156.0,74.0,1028.6
1778658143.129014,599617105671342944,0,-1021.0,174.0,65.0,1037.76
1778658143.169014,599617105711342944,0,-1013.0,165.0,57.0,1027.93
1778658143.209013,599617105751342944,0,-1010.0,163.0,72.0,1025.6
1778658143.249014,599617105791342944,0,-1013.0,176.0,45.0,1029.16
1778658143.289014,599617105831342944,0,-1009.0,161.0,76.0,1024.59
1778658143.329014,599617105871342944,0,-1011.0,161.0,45.0,1024.73
1778658143.369014,599617105911342944,0,-1038.0,183.0,41.0,1054.81
1778658143.409014,599617105951342944,0,-1002.0,138.0,58.0,1013.12
1778658143.449013,599617105991342944,0,-996.0,145.0,74.0,1009.22
1778658143.489014,599617106031342944,0,-1027.0,183.0,22.0,1043.41
1778658143.529014,599617106071342944,0,-1014.0,184.0,-1.0,1030.56
1778658143.569014,599617106111342944,0,-1014.0,183.0,25.0,1030.68
1778658143.609014,599617106151342944,0,-1013.0,178.0,33.0,1029.05
1778658143.649014,599617106191342944,0,-1019.0,194.0,33.0,1037.83
1778658143.689013,599617106231342944,0,-988.0,163.0,28.0,1001.75
1778658143.729014,599617106271342944,0,-992.0,186.0,56.0,1010.84
1778658143.769014,599617106311342944,0,-963.0,158.0,29.0,976.31
1778658143.809014,599617106351342944,0,-994.0,129.0,1.0,1002.34
1778658143.849014,599617106391342944,0,-1055.0,231.0,-23.0,1080.24
1778658143.889014,599617106431342944,0,-1075.0,304.0,-40.0,1117.87
1778658143.929013,599617106471342944,0,-1011.0,239.0,-40.0,1039.64
1778658143.969014,599617106511342944,0,-987.0,267.0,-44.0,1023.42
1778658144.009014,599617106551342944,0,-990.0,287.0,-53.0,1032.12
1778658144.049014,599617106591342944,0,-986.0,278.0,-36.0,1025.07
1778658144.089014,599617106631342944,0,-999.0,278.0,-33.0,1037.48
1778658144.078818,599617106652077920,36,-980.0,303.0,11.0,1025.83
1778658144.118818,599617106692077920,36,-1005.0,372.0,-5.0,1071.65
